Class,Order,Family,Genus
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Camarosporula
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Capnobotryella
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Catenulostroma
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Constantinomyces
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Davisoniella
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Devriesia
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Elasticomyces
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Eupenidiella
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Euteratosphaeria
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Fodinomyces
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Friedmanniomyces
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Hispidoconidioma
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Hortaea
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Hyweljonesia
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Incertomyces
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Lapidomyces
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Leptomelanconium
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Meristemomyces
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Microcyclospora
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Monticola
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Mycophycias
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Myrtapenidiella
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Neocatenulostroma
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Neophaeothecoidea
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Neotrimmatostroma
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Oleoguttula
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Pachysacca
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Parapenidiella
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Parateratosphaeria
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Penidiella
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Penidiellopsis
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Phacellium
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Phaeothecoidea
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Pseudotaeniolina
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Pseudoteratosphaeria
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Queenslandipenidiella
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Ramopenidiella
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Readeriella
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Recurvomyces
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Stenella
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Suberoteratosphaeria
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Teratoramularia
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Teratosphaeria
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Teratosphaericola
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Teratosphaeriopsis
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Xanthoriicola
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Xenoconiothyrium
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Xenopenidiella
Dothideomycetes,Capnodiales,Teratosphaeriaceae,Xenoteratosphaeria
Dothideomycetes,Capnodiales,incertae sedis,Arthrocatena
Dothideomycetes,Capnodiales,incertae sedis,Catenulomyces
Dothideomycetes,Capnodiales,incertae sedis,Eriosporella
Dothideomycetes,Capnodiales,incertae sedis,Hyphoconis
Dothideomycetes,Capnodiales,incertae sedis,Mucomycosphaerella
Dothideomycetes,Capnodiales,incertae sedis,Neohortaea
Dothideomycetes,Capnodiales,incertae sedis,Perusta
Dothideomycetes,Capnodiales,incertae sedis,Pseudoepicoccum
Dothideomycetes,Capnodiales,incertae sedis,Racoleus
Dothideomycetes,Capnodiales,incertae sedis,Ramimonilia
Dothideomycetes,Capnodiales,incertae sedis,Readerielliopsis
Dothideomycetes,Catinellales,Catinellaceae,Catinella
Dothideomycetes,Collemopsidiales,Xanthopyreniaceae,Collemopsidium
Dothideomycetes,Collemopsidiales,Xanthopyreniaceae,Didymellopsis
Dothideomycetes,Collemopsidiales,Xanthopyreniaceae,Zwackhiomyces
Dothideomycetes,Dothideales,Dothideaceae,Asteromellopsis
Dothideomycetes,Dothideales,Dothideaceae,Cylindroseptoria
Dothideomycetes,Dothideales,Dothideaceae,Delphinella
Dothideomycetes,Dothideales,Dothideaceae,Dictyodothis
Dothideomycetes,Dothideales,Dothideaceae,Dothidea
Dothideomycetes,Dothideales,Dothideaceae,Dothiora
Dothideomycetes,Dothideales,Dothideaceae,Endoconidioma
Dothideomycetes,Dothideales,Dothideaceae,Endodothiora
Dothideomycetes,Dothideales,Dothideaceae,Hormonema
Dothideomycetes,Dothideales,Dothideaceae,Kabatina
Dothideomycetes,Dothideales,Dothideaceae,Neocylindroseptoria
Dothideomycetes,Dothideales,Dothideaceae,Neophaeocryptopus
Dothideomycetes,Dothideales,Dothideaceae,Phaeocryptopus
Dothideomycetes,Dothideales,Dothideaceae,Plowrightia
Dothideomycetes,Dothideales,Dothideaceae,Pringsheimia
Dothideomycetes,Dothideales,Dothideaceae,Rhizosphaera
Dothideomycetes,Dothideales,Dothideaceae,Stylodothis
Dothideomycetes,Dothideales,Dothideaceae,Sydowia
Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium
Dothideomycetes,Dothideales,Saccotheciaceae,Columnosphaeria
Dothideomycetes,Dothideales,Saccotheciaceae,Kabatiella
Dothideomycetes,Dothideales,Saccotheciaceae,Pseudoseptoria
Dothideomycetes,Dothideales,Saccotheciaceae,Pseudosydowia
Dothideomycetes,Dothideales,Saccotheciaceae,Saccothecium
Dothideomycetes,Dothideales,Saccotheciaceae,Selenophoma
Dothideomycetes,Dothideales,Zalariaceae,Zalaria
Dothideomycetes,Dyfrolomycetales,Pleurotremataceae,Dyfrolomyces
Dothideomycetes,Dyfrolomycetales,Pleurotremataceae,Melomastia
Dothideomycetes,Dyfrolomycetales,Pleurotremataceae,Pleurotrema
Dothideomycetes,Eremithallales,Melaspileaceae,Encephalographa
Dothideomycetes,Eremithallales,Melaspileaceae,Eremithallus
Dothideomycetes,Eremithallales,Melaspileaceae,Melaspilea
Dothideomycetes,Eremithallales,Melaspileaceae,Melaspileopsis
Dothideomycetes,Hysteriales,Hysteriaceae,Actidiographium
Dothideomycetes,Hysteriales,Hysteriaceae,Coniosporium
Dothideomycetes,Hysteriales,Hysteriaceae,Gloniella
Dothideomycetes,Hysteriales,Hysteriaceae,Gloniopsis
Dothideomycetes,Hysteriales,Hysteriaceae,Hysterium
Dothideomycetes,Hysteriales,Hysteriaceae,Hysterobrevium
Dothideomycetes,Hysteriales,Hysteriaceae,Hysterocarina
Dothideomycetes,Hysteriales,Hysteriaceae,Hysterodifractum
Dothideomycetes,Hysteriales,Hysteriaceae,Hysteroglonium
Dothideomycetes,Hysteriales,Hysteriaceae,Oedohysterium
Dothideomycetes,Hysteriales,Hysteriaceae,Ostreichnion
Dothideomycetes,Hysteriales,Hysteriaceae,Pseudoscypha
Dothideomycetes,Hysteriales,Hysteriaceae,Psiloglonium
Dothideomycetes,Hysteriales,Hysteriaceae,Rhytidhysteron
Dothideomycetes,Jahnulales,Aliquandostipitaceae,Aliquandostipite
Dothideomycetes,Jahnulales,Aliquandostipitaceae,Brachiosphaera
Dothideomycetes,Jahnulales,Aliquandostipitaceae,Jahnula
Dothideomycetes,Jahnulales,Aliquandostipitaceae,Megalohypha
Dothideomycetes,Jahnulales,Aliquandostipitaceae,Patescospora
Dothideomycetes,Jahnulales,Aliquandostipitaceae,Xylomyces
Dothideomycetes,Jahnulales,Manglicolaceae,Manglicola
Dothideomycetes,Kirschsteiniotheliales,Kirschsteiniotheliaceae,Kirschsteiniothelia
Dothideomycetes,Kirschsteiniotheliales,incertae sedis,Brachysporiella
Dothideomycetes,Lichenoconiales,Lichenoconiaceae,Lichenoconium
Dothideomycetes,Lichenotheliales,Lichenotheliaceae,Lichenothelia
Dothideomycetes,Microthyriales,Microthyriaceae,Arnaudiella
Dothideomycetes,Microthyriales,Microthyriaceae,Calothyriopsis
Dothideomycetes,Microthyriales,Microthyriaceae,Caribaeomyces
Dothideomycetes,Microthyriales,Microthyriaceae,Chaetothyriothecium
Dothideomycetes,Microthyriales,Microthyriaceae,Hansfordiella
Dothideomycetes,Microthyriales,Microthyriaceae,Microthyrium
Dothideomycetes,Microthyriales,Microthyriaceae,Palawania
Dothideomycetes,Microthyriales,Microthyriaceae,Seynesiella
Dothideomycetes,Microthyriales,Microthyriaceae,Tumidispora
Dothideomycetes,Minutisphaerales,Minutisphaeraceae,Minutisphaera
Dothideomycetes,Monoblastiales,Monoblastiaceae,Acrocordia
Dothideomycetes,Monoblastiales,Monoblastiaceae,Anisomeridium
Dothideomycetes,Monoblastiales,Monoblastiaceae,Caprettia
Dothideomycetes,Monoblastiales,Monoblastiaceae,Megalotremis
Dothideomycetes,Monoblastiales,Monoblastiaceae,Monoblastia
Dothideomycetes,Monoblastiales,Monoblastiaceae,Trypetheliopsis
Dothideomycetes,Muyocopronales,Muyocopronaceae,Muyocopron
Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Acervuloseptoria
Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Achorodothis
Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Amycosphaerella
Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Anguillosporella
Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Annellophora
Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Annellophragmia
Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Annellosympodia
Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Annellosympodiella
Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Apseudocercosporella
Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Asperisporium
Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Asteromidium
Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Australosphaerella
